AccX,AccY,AccZ,Tmp,GyroX,GyroY,GyroZ
-7212,6432,12384,32.91,-315,-68,10
-7188,6460,12264,32.86,-240,-47,-31
-7276,6328,12356,32.86,-255,-77,0
-7256,6392,12256,32.91,-204,-32,-18
-7260,6372,12264,32.91,-290,-54,4
-7080,6376,12148,32.86,-218,-37,-37
-7112,6496,12116,32.91,-322,-36,15
-7172,6320,12372,32.91,-272,-31,-12
-7176,6560,12284,32.91,-200,-38,-19
-7092,6324,12224,32.91,-152,-32,4
-7172,6404,12072,32.86,-181,-81,-24
-7120,6348,12316,32.81,-232,-56,-10
-7220,6396,12264,32.91,-207,-22,1
-7288,6476,12284,32.95,-147,-25,-29
-7200,6280,12284,32.86,-308,-79,-11
-7148,6412,12132,32.95,-195,-52,-31
-7108,6420,12344,32.95,-132,-44,-11
-7268,6416,12428,32.86,-220,-68,-14
-7212,6436,12280,32.95,-233,-17,-13
-7200,6456,12308,32.95,-301,-36,8
-7084,6468,12172,32.81,-138,-6,-22
-7148,6376,12268,32.86,-385,-63,26
-7172,6388,12192,32.91,-157,-33,-19
-7168,6404,12284,32.91,-263,-62,3
-7232,6432,12464,32.86,-117,-16,-15
-7252,6500,12216,32.95,-430,-1,11
-7208,6380,12244,33.00,-87,-43,-39
-7236,6480,12344,32.95,-306,-82,4
-7188,6460,12228,32.81,-288,-51,-19
-7124,6404,12192,32.81,-239,-50,0
-7188,6456,12208,32.95,-331,-40,6
-7168,6420,12288,32.86,-140,-63,-1
-7168,6340,12144,32.86,-287,-44,16
-7112,6532,12180,32.91,-259,-54,1
-7332,6424,12188,32.86,-168,-35,-41
-7080,6428,12216,32.86,-289,-65,-11
-7200,6352,12216,32.86,-180,-24,-29
-7068,6500,12292,32.95,-330,-32,-1
-7196,6332,12128,33.00,-170,-25,0
-7200,6472,12324,32.86,88,-50,-64
-7176,6408,12268,32.91,10,-56,-44
-7148,6556,12228,32.95,-45,-24,-37
-7196,6368,12236,32.91,-456,-40,3
-7252,6492,12064,32.95,-50,79,-59
-6980,6308,12064,32.91,-705,-56,62
-7080,6384,12312,32.95,-22,54,-6
-7184,6428,12260,33.00,-522,-137,46
-7212,6360,12476,32.91,-125,21,-32
-7104,6360,12208,32.95,-386,-100,-14
-7036,6344,12380,32.86,-61,-65,-22
-7232,6484,12420,32.86,-421,-74,34
-7168,6468,12228,32.91,-245,-61,-23
-7180,6376,12244,32.91,-267,-74,-3
-7168,6332,12312,32.95,-274,-60,14
-7108,6424,12180,32.95,-286,-15,-6
-7208,6448,12368,33.00,-210,-61,-2
-7172,6348,12324,32.86,-262,-78,-12
-7096,6456,12392,33.05,-96,-46,-21
-7164,6428,12284,32.86,-242,-26,-12
-7140,6496,12176,32.95,-337,-1,-9
-7092,6376,12296,32.95,-247,-38,-26
-7112,6352,12208,32.95,-244,-47,2
-7116,6400,12344,32.91,-272,-55,-8
-7108,6416,12348,32.91,-229,-8,-22
-7164,6472,12340,32.86,-237,2,15
-7212,6464,12412,32.95,-285,-12,19
-7136,6464,12244,32.95,-350,6,-12
-7120,6508,12300,33.05,-186,-48,-26
-7152,6368,12352,32.86,-16,54,-15
-7312,6400,12384,32.81,-405,-49,25
-7236,6452,12272,32.91,-286,-67,20
-7220,6400,12124,32.95,-42,-65,7
-7236,6336,12376,32.95,-348,-35,31
-7196,6468,12284,33.05,87,34,-65
-7128,6420,12276,32.95,-489,-71,1
-7244,6472,12508,33.00,-260,-36,-5
-7120,6336,12144,32.86,58,-29,-66
-7144,6400,12280,32.91,-575,-189,40
-7192,6396,12256,32.91,378,15,-95
-7236,6372,12092,33.05,-629,-163,22
-7168,6440,12108,32.95,-108,-81,-46
-7136,6448,12232,32.95,-357,6,14
-7232,6396,12592,32.95,-286,5,20
-7288,6424,12372,33.00,-202,-37,-25
-7232,6468,12276,33.00,-137,-48,-5
-7212,6364,12192,32.95,-425,-116,24
-7252,6452,12160,32.95,-194,51,-19
-7232,6404,12160,33.00,-358,-67,32
-7104,6384,12336,32.95,-169,-70,-28
-7140,6332,12148,32.86,60,-24,-58
-7224,6392,12304,33.00,-338,-81,7
-7208,6408,12332,32.95,-235,-92,8
-7272,6420,12168,32.91,-394,-38,10
-7084,6412,12276,32.95,-398,-67,9
-7132,6344,12144,33.00,-278,-65,22
-7164,6448,12308,33.05,-272,-103,-34
-7144,6444,12372,33.00,-316,-49,10
-7148,6408,12300,32.95,-189,-47,17
-7192,6496,12196,32.91,-313,-1,-4
-7276,6468,12160,32.95,-97,1,13
-7200,6400,12280,32.95,-245,-19,3
-7112,6540,12232,33.00,-129,10,-29
-7184,6368,12244,32.91,-97,-24,28
-7228,6368,12256,32.91,-517,-36,72
-7272,6452,12260,33.00,-151,-23,-27
-7188,6552,12352,32.91,-234,-92,7
-7128,6520,12204,32.95,-431,-52,18
-7148,6440,12240,32.91,-255,-37,11
-7160,6376,12364,33.00,-321,-49,4
-7092,6436,12436,33.00,-136,-46,-14
-7176,6476,12128,33.00,-204,-44,-15
-7288,6488,12068,32.91,-364,-67,11
-7160,6408,12252,33.00,-341,-22,-7
-7192,6424,12040,32.95,-130,-15,-21
-7204,6304,12172,32.95,-459,-125,-7
-7140,6504,12232,32.95,383,28,-75
-7116,6356,12172,32.91,-843,-124,63
-7160,6356,12172,33.00,-173,-29,-3
-7200,6344,12288,32.95,-194,-50,-7
-7220,6444,12308,32.91,-296,-48,3
-7192,6488,12312,32.95,-150,-19,-1
-7144,6448,12240,32.95,-280,-38,9
-7076,6344,12392,32.91,-411,-60,-3
-7236,6492,12324,32.95,33,-17,-59
-7128,6432,12168,32.91,-253,-70,-23
-7200,6440,12376,32.91,-212,21,-39
-7160,6488,12116,33.05,-432,-67,28
-7140,6392,12360,32.95,-307,-58,-12
-7236,6448,12264,32.95,118,8,-45
-7244,6400,12272,32.95,-548,-88,25
-7148,6424,12224,32.86,-170,-12,-14
-7128,6400,12180,33.00,-311,-10,7
-7208,6424,12220,32.95,12,30,-30
-7220,6432,12292,33.00,-705,-49,69
-7204,6492,12356,33.05,10,21,-60
-7156,6408,12144,33.00,-295,-34,-3
-7108,6340,12312,32.95,-215,36,-20
-7164,6480,12064,33.05,-299,-82,-15
-7100,6460,12368,33.09,-49,18,-49
-7212,6392,12260,32.91,-205,32,16
-7184,6560,12184,33.00,-867,-171,43
-7092,6424,12328,33.00,25,53,-58
-7236,6480,12152,32.95,-399,-33,4
-7140,6348,12388,33.00,-232,-10,10
-7092,6368,12140,33.05,-174,-13,-15
-7156,6392,12108,32.95,-312,-100,-14
-7116,6352,12244,33.05,-99,-26,-32
-7156,6340,12224,32.95,-230,-40,-3
-7160,6412,12268,33.00,-304,-75,19
-7204,6396,12332,33.00,-324,-37,6
-7152,6396,12388,33.00,-270,-66,-10
-7176,6360,12356,32.95,-193,-54,-15
-7264,6408,12268,32.95,-270,-38,14
-7136,6464,12368,33.00,-268,-3,14
-7208,6432,12232,32.95,-230,-10,1
-7208,6504,12220,33.00,-253,-42,-6
-7256,6392,12296,33.05,-268,-64,3
-7108,6408,12132,33.00,-260,-47,28
-7112,6440,12168,32.95,-185,-41,-16
-7120,6412,12252,33.05,-112,-3,-36
-7152,6424,12232,33.05,-274,-61,10
-7212,6528,12296,33.00,-469,-39,20
-7228,6396,12304,33.00,-228,-56,-13
-7112,6464,12416,33.00,-214,-26,-6
-7240,6484,12316,33.05,-367,-26,18
-7196,6324,12256,32.95,-146,24,-12
-7104,6404,12272,33.00,-194,-49,-19
-7216,6492,12280,33.00,-199,-40,-4
-7228,6408,12180,33.05,-207,-40,-12
-7220,6320,12232,32.86,-268,-66,7
-7188,6464,12204,33.00,-300,-37,-3
-7244,6424,12280,33.14,121,-55,-59
-7140,6448,12188,33.09,-526,-83,39
-7252,6404,12308,33.00,-107,-14,-9
-7188,6512,12180,33.00,-337,-34,1
-7136,6420,12204,32.95,-311,0,-7
-7104,6520,12304,33.05,-427,-33,25
-7216,6560,12148,33.00,-215,17,-13
-7240,6500,12400,33.00,-211,-19,-7
-7216,6468,12352,33.05,-215,-53,-27
-7140,6320,12292,33.05,-244,-91,-10
-7172,6492,12024,32.95,-252,-43,21
-7272,6364,12268,33.05,-343,-35,17
-7144,6552,12124,33.00,-177,-47,0
-7156,6416,12152,33.05,-249,-61,-3
-7188,6428,12148,33.00,-217,-62,-11
-7180,6504,12288,33.00,-170,-83,5
-7196,6432,12228,32.95,-115,-6,25
-7148,6320,12364,33.00,-359,-42,38
-7156,6336,12332,33.05,-304,-19,21
-7144,6508,12376,33.00,-336,-75,28
-7156,6508,12228,33.00,-412,-8,15
-7264,6392,12296,32.95,-38,-31,-31
-7204,6496,12316,32.95,-439,-80,22
-7088,6440,12380,33.00,-228,-42,-7
-7112,6520,12060,32.95,-111,-49,-23
-7180,6364,12372,32.95,-326,-73,-3
-7116,6472,12244,33.05,-170,-7,-9
-7232,6328,12388,33.00,-307,-38,8
-7140,6400,12304,33.05,-129,-81,-27
-7192,6456,12216,33.05,-238,-47,-2
-7156,6360,12264,33.09,-225,-55,12
-7192,6380,12208,33.05,-239,-32,-15
-7164,6360,12324,32.95,-337,-13,3
-7184,6324,12224,33.00,-202,-26,-14
-7164,6380,12260,33.00,-337,-32,21
-7160,6496,12384,32.95,-290,-42,3
-7136,6432,12280,33.09,-131,-64,-13
-7276,6380,12196,33.00,-160,-113,-3
-7140,6492,12408,33.00,-449,-82,33
-7112,6404,12072,33.05,-202,-28,1
-7072,6452,12100,32.91,-294,-70,-12
-7172,6448,12184,33.00,-178,-24,-17
-7232,6364,12140,33.00,-385,-61,12
-7076,6432,12324,33.05,-108,-15,4
-7052,6324,12316,33.09,-337,-66,28
-7248,6452,12268,33.09,-196,-54,1
-7144,6444,12316,33.05,-194,-46,-23
-7092,6424,12208,33.00,-303,-31,16
-7264,6348,12360,32.91,-208,-44,-8
-7124,6344,12348,33.14,-257,-65,-16
-7212,6464,12296,32.95,-198,-44,-17
-7112,6360,12340,33.05,-281,-57,4
-7124,6388,12204,33.09,-243,-40,11
-7244,6396,12324,33.00,-191,-55,3
-7164,6500,12136,33.00,-253,-23,-23
-7236,6388,12332,33.00,-206,-65,-1
-7124,6360,12316,32.91,-241,-47,4
-7140,6492,12296,33.05,-271,-53,-1
-7228,6480,12248,33.00,-161,-8,-23
-7176,6472,12232,33.09,-374,-9,21
-7280,6364,12468,33.05,-219,-22,10
-7200,6388,12260,33.00,-261,-32,-4
-7224,6408,12372,32.91,-263,-28,-3
-7272,6440,12336,33.05,-263,-37,4
-7156,6496,12356,33.00,-202,-40,-9
-7168,6296,12280,33.00,-285,-22,1
-7212,6396,12180,33.09,-219,-39,4
-7244,6460,12124,33.05,-255,-15,-21
-7280,6432,12240,33.05,-230,-75,0
-7120,6428,12296,33.09,-255,-34,-12
-7020,6436,12280,33.00,-186,-38,-11
-7116,6404,12296,33.09,-346,-34,6
-7136,6436,12392,33.14,-100,-34,-13
-7136,6452,12192,33.05,-294,-9,1
-7156,6412,12288,33.14,-91,-38,-14
-7208,6448,12220,32.95,-366,-37,-9
-7248,6332,12380,33.00,-251,-69,-2
-7188,6452,12256,33.00,-199,-61,-11
-7228,6432,12148,33.00,-223,-40,4
-7224,6364,12188,33.05,-195,-3,-8
-7112,6416,12264,33.00,-239,-14,20
-7124,6412,12276,33.05,-361,-18,6
-7132,6448,12288,33.00,-99,-25,-45
-7136,6424,12240,33.05,-90,-43,-24
-7148,6476,12484,33.14,-607,-54,37
-7200,6400,12148,33.05,48,7,-46
-7168,6412,12200,33.00,-470,-63,36
-7160,6488,12136,33.00,-335,-28,2
